24: Something
24: T
24: Take
24: Thank
24: Time
24: Virag
24: Whos
24: brow
24: editor
24: example
24: fool
24: handkerchief
24: hanging
24: kick
24: kissed
24: lies
24: manner
24: mothers
24: mourning
24: names
24: note
24: pages
24: particular
24: perfume
24: pure
24: showing
24: shut
24: sister
24: sound
24: straw
24: subject
24: thinks
24: threw
24: tight
24: touched
24: tower
24: wear
23: Breen
23: Gibraltar
23: Great
23: Kitty
23: Michael
23: Peter
23: Ten
23: Would
23: afraid
23: bag
23: bay
23: bones
23: bosom
23: chair
23: collar
23: colour
23: dressed
23: drove
23: dull
23: flat
23: gentle
23: ghost
23: gives
23: glance
23: glasses
23: hee
23: houses
23: image
23: keys
23: knees
23: lightly
23: moustache
23: notice
23: papers
23: party
23: piano
23: position
23: quid
23: seems
23: sideways
23: starts
23: state
23: stop
23: stuff
23: tail
23: tiny
23: turns
23: twins
23: wearing
22: Eh
22: England
22: Foundation
22: Gob
22: Green
22: Harry
22: Has
22: Keep
22: Lidwell
22: Little
22: Most
22: Nice
22: Thanks
22: address
22: already
22: ate
22: cream
22: drawn
22: dry
22: due
22: evidence
22: fish
22: folded
22: follow
22: forgot
22: forgotten
22: future
22: guest
22: heat
22: heels
22: instance
22: kings
22: knee
22: knock
22: learn
22: loud
22: minutes
22: park
22: picture
22: possibly
22: quay
22: sake
22: shook
22: shot
22: thanks
22: thoughts
22: tram
22: tried
22: umbrella
22: wore
21: Also
21: Be
21: Byrne
21: FIRST
21: Greek
21: Holles
21: Jacky
21: Menton
21: Red
21: Terry
21: Tweedy
21: Wheres
21: awfully
21: bank
21: bucket
21: caught
21: changed
21: containing
21: copy
21: cries
21: dinner
21: drinking
21: drunk
21: empty
21: especially
21: falling
21: famous
21: fancy
21: gets
21: glanced
21: grace
21: honour
21: imagine
21: kidney
21: knife
21: match
21: meant
21: need
21: noone
21: original
21: pace
21: pink
21: playing
21: poetry
21: press
21: printed
21: ready
21: soap
21: somebody
21: sons
21: special
21: spot
21: staring
21: struck
21: student
21: tone
21: tonight
21: voices
21: waited
21: ways
21: west
21: won
20: Big
20: CARR
20: Dilly
20: Italian
20: Joseph
20: MacHugh
20: Me
20: Mina
20: Parnell
20: Trinity
20: Want
20: anyone
20: aunt
20: bare
20: beginning
20: beneath
20: breakfast
20: broken
20: candle
20: carried
20: chief
20: circle
20: counter
20: dance
20: dancing
20: darling
20: dirty
20: effect
20: entered
20: et
20: farther
20: gay
20: gravely
20: greatest
20: happened
20: history
20: influence
20: isnt
20: killed
20: listening
20: mad
20: marked
20: medical
20: moving
20: national
20: noise
20: object
20: parts
20: perfect
20: plain
20: porter
20: shade
20: shape
20: shoes
20: showed
20: speaking
20: tears
20: tree
20: twenty
20: watching
20: widow
19: BREEN
19: Black
19: City
19: Could
19: Dixon
19: Doran
19: Down
19: Howth
19: La
19: Last
19: Lyons
19: OMadden
19: Purefoy
19: Stop
19: Suppose
19: Up
19: alive
19: bath
19: below
19: burst
19: castle
19: chance
19: cheek
19: cheeks
19: covered
19: envelope
19: existence
19: flow
19: game
19: gloves
19: habit
19: highly
19: interest
19: kept
19: naked
19: neither
19: noble
19: noticed
19: occasion
19: ones
19: period
19: pin
19: placed
19: plump
19: pointing
19: prayed
19: proper
19: queer
19: rapidly
19: removed
19: scarlet
19: seat
19: shining
19: shop
19: sick
19: sky
19: smoke
19: stand
19: stiff
19: stockings
19: strand
19: strange
19: tear
19: throat
19: tired
19: twelve
19: upper
19: vast
19: weight
18: Always
18: Bantam
18: Blessed
18: Cant
18: Charles
18: Gold
18: Him
18: Hold
18: Messrs
18: Quite
18: Remember
18: Royal
18: VIRAG
18: VOICE
18: action
18: agreement
18: animal
18: brief
18: bull
18: buried
18: carry
18: cast
18: cigarette
18: clear
18: clock
18: cloth
18: concert
18: crowd
18: curves
18: distant
18: eating
18: eggs
18: ends
18: engaged
18: fault
18: fight
18: flung
18: fro
18: golden
18: handsome
18: honourable
18: inner
18: leaves
18: mercy
18: mountain
18: murder
18: newspaper
18: odd
18: offered
18: pale
18: personal
18: pick
18: pleasant
18: premises
18: proud
18: pulled
18: railway
18: salt
18: shed
18: sigh
